,starttime,stoptime,start station id,end station id
98,9/1/2015 00:16:52,9/1/2015 00:35:32,453,433
99,9/1/2015 00:16:54,9/1/2015 00:28:56,285,531
100,9/1/2015 00:17:03,9/1/2015 00:27:44,496,439
101,9/1/2015 00:17:14,9/1/2015 00:22:49,519,228
102,9/1/2015 00:17:15,9/1/2015 00:23:10,297,507
103,9/1/2015 00:17:15,9/1/2015 00:28:53,494,368
104,9/1/2015 00:17:15,9/1/2015 00:28:52,494,368
105,9/1/2015 00:17:28,9/1/2015 00:26:25,293,487
106,9/1/2015 00:17:37,9/1/2015 00:23:34,293,497
107,9/1/2015 00:18:00,9/1/2015 00:27:17,519,448
108,9/1/2015 00:17:59,9/1/2015 00:21:12,498,492
109,9/1/2015 00:18:07,9/1/2015 00:54:18,529,401
110,9/1/2015 00:18:09,9/1/2015 00:21:28,527,476
111,9/1/2015 00:18:12,9/1/2015 00:36:59,229,444
112,9/1/2015 00:18:30,9/1/2015 00:46:29,529,401
113,9/1/2015 00:18:31,9/1/2015 00:32:56,438,494
114,9/1/2015 00:18:43,9/1/2015 00:24:30,410,251
115,9/1/2015 00:18:48,9/1/2015 00:29:56,336,152
116,9/1/2015 00:18:54,9/1/2015 00:21:08,498,492
117,9/1/2015 00:19:10,9/1/2015 00:28:39,268,410
118,9/1/2015 00:19:12,9/1/2015 00:35:54,229,444
119,9/1/2015 00:19:18,9/1/2015 00:30:02,336,152
120,9/1/2015 00:19:23,9/1/2015 00:41:31,3081,3074
121,9/1/2015 00:19:25,9/1/2015 00:41:35,3081,3074
122,9/1/2015 00:19:27,9/1/2015 00:24:13,3055,396
123,9/1/2015 00:19:46,9/1/2015 00:43:40,430,144
124,9/1/2015 00:20:00,9/1/2015 00:22:00,3081,3086
125,9/1/2015 00:20:08,9/1/2015 00:36:35,361,353
126,9/1/2015 00:20:18,9/1/2015 00:26:26,519,498
127,9/1/2015 00:20:19,9/1/2015 00:27:30,225,458
128,9/1/2015 00:20:19,9/1/2015 00:23:23,3112,3104
129,9/1/2015 00:20:30,9/1/2015 00:31:37,127,326
130,9/1/2015 00:20:45,9/1/2015 00:25:48,410,361
131,9/1/2015 00:20:51,9/1/2015 00:24:58,504,2012
132,9/1/2015 00:20:56,9/1/2015 00:28:08,490,450
133,9/1/2015 00:21:11,9/1/2015 00:27:08,433,301
134,9/1/2015 00:21:12,9/1/2015 00:59:06,470,470
135,9/1/2015 00:21:27,9/1/2015 00:27:34,417,2010
136,9/1/2015 00:21:27,9/1/2015 00:45:11,332,3002
137,9/1/2015 00:22:23,9/1/2015 00:41:54,382,350
138,9/1/2015 00:22:23,9/1/2015 00:38:40,320,511
139,9/1/2015 00:22:27,9/1/2015 00:42:26,251,225
140,9/1/2015 00:22:39,9/1/2015 00:26:49,312,350
141,9/1/2015 00:22:58,9/1/2015 00:40:53,405,250
142,9/1/2015 00:23:24,9/1/2015 00:29:06,3044,3042
143,9/1/2015 00:23:33,9/1/2015 00:29:33,3044,3042
144,9/1/2015 00:23:38,9/1/2015 00:34:42,383,507
145,9/1/2015 00:23:42,9/1/2015 00:38:18,128,3002
146,9/1/2015 00:23:46,9/1/2015 00:37:10,405,504
147,9/1/2015 00:23:51,9/1/2015 00:35:44,519,2022
148,9/1/2015 00:24:43,9/1/2015 00:34:12,526,479
149,9/1/2015 00:25:04,9/1/2015 00:45:08,519,329
150,9/1/2015 00:25:10,9/1/2015 00:38:49,494,377
151,9/1/2015 00:25:11,9/1/2015 00:31:16,503,470
152,9/1/2015 00:25:14,9/1/2015 00:32:36,257,152
153,9/1/2015 00:25:19,9/1/2015 00:30:42,352,385
154,9/1/2015 00:25:31,9/1/2015 00:43:07,128,489
155,9/1/2015 00:25:44,9/1/2015 00:57:51,417,422
156,9/1/2015 00:26:01,9/1/2015 00:33:48,507,167
157,9/1/2015 00:26:01,9/1/2015 00:32:44,470,491
158,9/1/2015 00:26:07,9/1/2015 00:32:16,433,393
159,9/1/2015 00:26:23,9/1/2015 00:38:29,527,297
160,9/1/2015 00:26:40,9/1/2015 00:31:46,426,3002
161,9/1/2015 00:27:02,9/1/2015 00:32:47,489,489
162,9/1/2015 00:27:02,9/1/2015 00:35:22,527,402
163,9/1/2015 00:27:05,9/1/2015 00:35:19,527,402
164,9/1/2015 00:27:44,9/1/2015 00:33:03,531,356
165,9/1/2015 00:27:53,9/1/2015 00:30:48,492,446
166,9/1/2015 00:28:08,9/1/2015 00:33:45,510,480
167,9/1/2015 00:28:27,9/1/2015 00:35:03,512,116
168,9/1/2015 00:28:50,9/1/2015 00:33:27,489,434
169,9/1/2015 00:28:50,9/1/2015 00:47:26,494,433
170,9/1/2015 00:28:53,9/1/2015 00:46:06,524,403
171,9/1/2015 00:28:55,9/1/2015 00:43:56,449,368
172,9/1/2015 00:29:00,9/1/2015 00:33:00,331,412
173,9/1/2015 00:29:07,9/1/2015 00:47:09,396,467
174,9/1/2015 00:29:09,9/1/2015 00:52:35,519,2012
175,9/1/2015 00:29:14,9/1/2015 00:41:08,336,296
176,9/1/2015 00:29:19,9/1/2015 00:39:17,361,264
177,9/1/2015 00:29:21,9/1/2015 00:35:45,284,483
178,9/1/2015 00:29:22,9/1/2015 00:41:55,334,439
179,9/1/2015 00:29:47,9/1/2015 00:52:35,519,2012
180,9/1/2015 00:29:46,9/1/2015 00:43:56,285,312
181,9/1/2015 00:29:57,9/1/2015 00:39:27,3084,3110
182,9/1/2015 00:29:59,9/1/2015 00:33:58,494,379
183,9/1/2015 00:30:12,9/1/2015 00:38:37,151,432
184,9/1/2015 00:30:32,9/1/2015 00:33:57,474,496
185,9/1/2015 00:30:45,9/1/2015 00:52:32,519,2012
186,9/1/2015 00:31:24,9/1/2015 00:40:31,389,3076
187,9/1/2015 00:31:36,9/1/2015 00:40:21,389,3076
188,9/1/2015 00:31:52,9/1/2015 00:46:07,2000,258
189,9/1/2015 00:31:58,9/1/2015 00:40:19,389,3076
190,9/1/2015 00:32:09,9/1/2015 00:39:19,361,302
191,9/1/2015 00:33:00,9/1/2015 00:44:07,494,465
192,9/1/2015 00:33:12,9/1/2015 00:44:07,494,465
193,9/1/2015 00:33:17,9/1/2015 01:08:22,517,3133
194,9/1/2015 00:33:30,9/1/2015 00:50:02,360,301
195,9/1/2015 00:33:30,9/1/2015 00:44:56,526,161
196,9/1/2015 00:34:21,9/1/2015 00:42:17,477,490
197,9/1/2015 00:34:32,9/1/2015 00:42:22,492,527
198,9/1/2015 00:35:24,9/1/2015 00:39:10,450,480
199,9/1/2015 00:35:27,9/1/2015 00:42:15,494,491
200,9/1/2015 00:35:36,9/1/2015 00:55:17,83,3042
201,9/1/2015 00:35:47,9/1/2015 00:44:10,527,546
202,9/1/2015 00:35:58,9/1/2015 00:58:03,358,2009
203,9/1/2015 00:36:07,9/1/2015 00:46:28,293,3224
204,9/1/2015 00:36:28,9/1/2015 00:47:03,293,3224
205,9/1/2015 00:36:32,9/1/2015 00:43:23,252,251
206,9/1/2015 00:36:36,9/1/2015 00:46:20,519,446
207,9/1/2015 00:36:38,9/1/2015 00:45:37,358,334
208,9/1/2015 00:37:00,9/1/2015 00:41:21,350,401
209,9/1/2015 00:37:26,9/1/2015 00:45:08,312,348
210,9/1/2015 00:37:50,9/1/2015 00:51:23,377,376
211,9/1/2015 00:37:55,9/1/2015 00:45:12,359,527
212,9/1/2015 00:38:09,9/1/2015 00:40:31,521,512
213,9/1/2015 00:38:12,9/1/2015 00:46:28,293,3224
214,9/1/2015 00:38:12,9/1/2015 00:45:47,161,497
215,9/1/2015 00:38:24,9/1/2015 01:04:49,336,467
216,9/1/2015 00:38:26,9/1/2015 01:16:29,433,3115
217,9/1/2015 00:38:33,9/1/2015 00:41:12,376,415
218,9/1/2015 00:38:34,9/1/2015 00:50:40,447,441
219,9/1/2015 00:38:42,9/1/2015 00:50:56,228,513
220,9/1/2015 00:38:49,9/1/2015 01:03:55,445,408
221,9/1/2015 00:38:54,9/1/2015 00:48:43,494,488
222,9/1/2015 00:39:01,9/1/2015 00:52:07,367,379
223,9/1/2015 00:39:14,9/1/2015 00:51:02,521,238
224,9/1/2015 00:39:30,9/1/2015 01:07:17,284,382
225,9/1/2015 00:39:32,9/1/2015 01:08:41,493,3002
226,9/1/2015 00:39:33,9/1/2015 00:43:09,364,258
227,9/1/2015 00:39:59,9/1/2015 00:49:12,536,511
228,9/1/2015 00:40:06,9/1/2015 00:53:42,492,545
229,9/1/2015 00:40:26,9/1/2015 00:47:51,250,432
230,9/1/2015 00:40:45,9/1/2015 00:53:44,540,174
231,9/1/2015 00:41:04,9/1/2015 00:51:09,510,160
232,9/1/2015 00:42:01,9/1/2015 00:49:19,328,147
233,9/1/2015 00:42:37,9/1/2015 01:02:27,116,312
234,9/1/2015 00:42:48,9/1/2015 07:43:18,392,3222
235,9/1/2015 00:43:04,9/1/2015 01:09:57,358,391
236,9/1/2015 00:43:13,9/1/2015 01:03:30,494,236
237,9/1/2015 00:43:15,9/1/2015 00:48:15,412,151
238,9/1/2015 00:43:16,9/1/2015 01:23:33,386,398
239,9/1/2015 00:43:17,9/1/2015 00:57:47,468,468
240,9/1/2015 00:43:21,9/1/2015 01:23:54,386,398
241,9/1/2015 00:43:24,9/1/2015 00:47:58,415,306
242,9/1/2015 00:43:31,9/1/2015 01:06:24,444,442
243,9/1/2015 00:43:36,9/1/2015 01:08:50,2021,441
244,9/1/2015 00:43:39,9/1/2015 00:57:41,517,445
245,9/1/2015 00:43:39,9/1/2015 00:49:52,3086,3094
246,9/1/2015 00:44:06,9/1/2015 00:47:24,493,479
247,9/1/2015 00:44:23,9/1/2015 00:52:59,324,365
248,9/1/2015 00:44:28,9/1/2015 00:52:45,357,509
249,9/1/2015 00:44:36,9/1/2015 00:55:59,259,224
250,9/1/2015 00:44:46,9/1/2015 00:58:14,455,394
251,9/1/2015 00:44:47,9/1/2015 01:00:07,3158,526
252,9/1/2015 00:44:47,9/1/2015 00:47:33,532,443
253,9/1/2015 00:44:49,9/1/2015 00:47:00,523,533
254,9/1/2015 00:45:13,9/1/2015 00:57:30,401,346
255,9/1/2015 00:45:22,9/1/2015 01:12:41,510,320
256,9/1/2015 00:45:43,9/1/2015 00:55:10,297,345
257,9/1/2015 00:45:47,9/1/2015 00:56:31,251,264
258,9/1/2015 00:45:57,9/1/2015 01:14:27,2000,258
259,9/1/2015 00:46:09,9/1/2015 01:08:06,459,513
260,9/1/2015 00:46:09,9/1/2015 01:06:25,459,513
261,9/1/2015 00:46:16,9/1/2015 01:06:59,459,513
262,9/1/2015 00:47:01,9/1/2015 01:00:17,3224,317
263,9/1/2015 00:47:10,9/1/2015 00:50:35,417,329
264,9/1/2015 00:47:32,9/1/2015 00:58:34,463,477
265,9/1/2015 00:47:32,9/1/2015 00:56:02,403,295
266,9/1/2015 00:47:36,9/1/2015 01:03:58,394,376
267,9/1/2015 00:48:13,9/1/2015 00:59:03,504,403
268,9/1/2015 00:48:55,9/1/2015 00:52:21,402,486
269,9/1/2015 00:48:57,9/1/2015 00:52:05,500,450
270,9/1/2015 00:49:28,9/1/2015 00:55:56,3084,3067
271,9/1/2015 00:49:36,9/1/2015 01:26:39,3002,525
272,9/1/2015 00:49:53,9/1/2015 00:59:06,116,294
273,9/1/2015 00:50:02,9/1/2015 01:00:28,503,432
